Designator,Layer,Mid X,Mid Y,Rotation
D1_00_00,Top,5.003799999999999mm,57.9966mm,180
D2_00_00,Top,5.003799999999999mm,52.0022mm,180
D3_00_00,Top,5.003799999999999mm,46.007799999999996mm,180
D4_00_00,Top,5.003799999999999mm,39.988mm,180
D5_00_00,Top,5.003799999999999mm,33.9936mm,180
D6_00_00,Top,10.998199999999999mm,57.9966mm,180
D7_00_00,Top,10.998199999999999mm,52.0022mm,180
D8_00_00,Top,10.998199999999999mm,46.007799999999996mm,180
D9_00_00,Top,10.998199999999999mm,39.988mm,180
D10_00_00,Top,10.998199999999999mm,33.9936mm,180
D11_00_00,Top,16.9926mm,57.9966mm,180
D12_00_00,Top,16.9926mm,52.0022mm,180
D13_00_00,Top,16.9926mm,46.007799999999996mm,180
D14_00_00,Top,16.9926mm,39.988mm,180
D15_00_00,Top,16.9926mm,33.9936mm,180
D16_00_00,Top,23.012399999999996mm,57.9966mm,180
D17_00_00,Top,23.012399999999996mm,52.0022mm,180
D18_00_00,Top,23.012399999999996mm,46.007799999999996mm,180
D19_00_00,Top,23.012399999999996mm,39.988mm,180
D20_00_00,Top,23.012399999999996mm,33.9936mm,180
D21_00_00,Top,29.006800000000002mm,57.9966mm,180
D22_00_00,Top,29.006800000000002mm,52.0022mm,180
D23_00_00,Top,29.006800000000002mm,46.007799999999996mm,180
D24_00_00,Top,29.006800000000002mm,39.988mm,180
D25_00_00,Top,29.006800000000002mm,33.9936mm,180
D26_00_00,Top,38.989mm,52.992799999999995mm,180
D27_00_00,Top,38.989mm,49.004999999999995mm,180
D28_00_00,Top,38.989mm,44.99179999999999mm,180
D29_00_00,Top,38.989mm,41.004mm,180
D30_00_00,Top,43.0022mm,52.992799999999995mm,180
D31_00_00,Top,43.0022mm,49.004999999999995mm,180
D32_00_00,Top,43.0022mm,44.99179999999999mm,180
D33_00_00,Top,43.0022mm,41.004mm,180
D34_00_00,Top,46.99mm,52.992799999999995mm,180
D35_00_00,Top,46.99mm,49.004999999999995mm,180
D36_00_00,Top,46.99mm,44.99179999999999mm,180
D37_00_00,Top,46.99mm,41.004mm,180
D38_00_00,Top,51.0032mm,52.992799999999995mm,180
D39_00_00,Top,51.0032mm,49.004999999999995mm,180
D40_00_00,Top,51.0032mm,44.99179999999999mm,180
D41_00_00,Top,51.0032mm,41.004mm,180
D42_00_00,Top,59.9948mm,49.004999999999995mm,180
D43_00_00,Top,59.9948mm,44.99179999999999mm,180
D44_00_00,Top,59.9948mm,41.004mm,180
D45_00_00,Top,64.008mm,49.004999999999995mm,180
D46_00_00,Top,64.008mm,44.99179999999999mm,180
D47_00_00,Top,64.008mm,41.004mm,180
D48_00_00,Top,67.9958mm,49.004999999999995mm,180
D49_00_00,Top,67.9958mm,44.99179999999999mm,180
D50_00_00,Top,67.9958mm,41.004mm,180
D51_00_00,Top,75.9968mm,44.99179999999999mm,180
D52_00_00,Top,75.9968mm,41.004mm,180
D53_00_00,Top,80.00999999999999mm,44.99179999999999mm,180
D54_00_00,Top,80.00999999999999mm,41.004mm,180
D55_00_00,Top,72.99959999999999mm,57.69179999999999mm,270
D56_00_00,Top,70.00240000000001mm,57.69179999999999mm,270
D57_00_00,Top,75.9968mm,57.69179999999999mm,270
D61_00_00,Top,62.992mm,30.996399999999998mm,270
D62_00_00,Top,64.9986mm,30.996399999999998mm,270
D63_00_00,Top,67.00519999999999mm,30.996399999999998mm,270
D64_00_00,Top,69.0118mm,30.996399999999998mm,270
D65_00_00,Top,70.993mm,30.996399999999998mm,270
D66_00_00,Top,72.99959999999999mm,30.996399999999998mm,270
D67_00_00,Top,75.0062mm,30.996399999999998mm,270
D68_00_00,Top,76.9874mm,30.996399999999998mm,270
D69_00_00,Top,78.99399999999999mm,30.996399999999998mm,270
D71_00_00,Top,55.498999999999995mm,22.0048mm,90
D72_00_00,Top,58.496199999999995mm,22.0048mm,90
D73_00_00,Top,61.493399999999994mm,22.0048mm,90
D74_00_00,Top,64.4906mm,22.0048mm,90
D75_00_00,Top,67.4878mm,22.0048mm,90
D76_00_00,Top,70.5104mm,22.0048mm,90
D77_00_00,Top,73.50759999999998mm,22.0048mm,90
D78_00_00,Top,76.5048mm,22.0048mm,90
D79_00_00,Top,79.502mm,22.0048mm,90
D81_00_00,Top,67.00519999999999mm,57.69179999999999mm,270
D82_00_00,Top,52.50179999999999mm,22.0048mm,90
D83_00_00,Top,81.00059999999999mm,30.996399999999998mm,270
D84_00_00,Top,51.0032mm,30.996399999999998mm,270
D85_00_00,Top,53.00979999999999mm,30.996399999999998mm,270
D86_00_00,Top,54.991mm,30.996399999999998mm,270
D87_00_00,Top,56.997600000000006mm,30.996399999999998mm,270
D88_00_00,Top,59.0042mm,30.996399999999998mm,270
D89_00_00,Top,61.01079999999999mm,30.996399999999998mm,270
FILTER_SW_00_00,Top,80.00999999999999mm,57.69179999999999mm,0
PWR_SW_00_00,Top,81.2038mm,13.2926mm,180
SW1_00_00,Top,5.003799999999999mm,54.999399999999994mm,0
SW2_00_00,Top,5.003799999999999mm,49.004999999999995mm,0
SW3_00_00,Top,5.003799999999999mm,43.0106mm,0
SW4_00_00,Top,5.003799999999999mm,36.9908mm,0
SW5_00_00,Top,5.003799999999999mm,30.996399999999998mm,0
SW6_00_00,Top,10.998199999999999mm,54.999399999999994mm,0
SW7_00_00,Top,10.998199999999999mm,49.004999999999995mm,0
SW8_00_00,Top,10.998199999999999mm,43.0106mm,0
SW9_00_00,Top,10.998199999999999mm,36.9908mm,0
SW10_00_00,Top,10.998199999999999mm,30.996399999999998mm,0
SW11_00_00,Top,16.9926mm,54.999399999999994mm,0
SW12_00_00,Top,16.9926mm,49.004999999999995mm,0
SW13_00_00,Top,16.9926mm,43.0106mm,0
SW14_00_00,Top,16.9926mm,36.9908mm,0
SW15_00_00,Top,16.9926mm,30.996399999999998mm,0
SW16_00_00,Top,23.012399999999996mm,54.999399999999994mm,0
SW17_00_00,Top,23.012399999999996mm,49.004999999999995mm,0
SW18_00_00,Top,23.012399999999996mm,43.0106mm,0
SW19_00_00,Top,23.012399999999996mm,36.9908mm,0
SW20_00_00,Top,23.012399999999996mm,30.996399999999998mm,0
SW21_00_00,Top,29.006800000000002mm,54.999399999999994mm,0
SW22_00_00,Top,29.006800000000002mm,49.004999999999995mm,0
SW23_00_00,Top,29.006800000000002mm,43.0106mm,0
SW24_00_00,Top,29.006800000000002mm,36.9908mm,0
SW25_00_00,Top,29.006800000000002mm,30.996399999999998mm,0
D1_00_01,Top,94.60379999999999mm,57.9966mm,180
D2_00_01,Top,94.60379999999999mm,52.0022mm,180
D3_00_01,Top,94.60379999999999mm,46.007799999999996mm,180
D4_00_01,Top,94.60379999999999mm,39.988mm,180
D5_00_01,Top,94.60379999999999mm,33.9936mm,180
D6_00_01,Top,100.59819999999999mm,57.9966mm,180
D7_00_01,Top,100.59819999999999mm,52.0022mm,180
D8_00_01,Top,100.59819999999999mm,46.007799999999996mm,180
D9_00_01,Top,100.59819999999999mm,39.988mm,180
D10_00_01,Top,100.59819999999999mm,33.9936mm,180
D11_00_01,Top,106.59259999999999mm,57.9966mm,180
D12_00_01,Top,106.59259999999999mm,52.0022mm,180
D13_00_01,Top,106.59259999999999mm,46.007799999999996mm,180
D14_00_01,Top,106.59259999999999mm,39.988mm,180
D15_00_01,Top,106.59259999999999mm,33.9936mm,180
D16_00_01,Top,112.6124mm,57.9966mm,180
D17_00_01,Top,112.6124mm,52.0022mm,180
D18_00_01,Top,112.6124mm,46.007799999999996mm,180
D19_00_01,Top,112.6124mm,39.988mm,180
D20_00_01,Top,112.6124mm,33.9936mm,180
D21_00_01,Top,118.60679999999999mm,57.9966mm,180
